"","plot","patch","East","North","area","AreaYear1","AreaYear2","AreaChange","AreaMean","dead.","FeedingDamage","Color","posttrt","AreaMean2","coordInc"
"1",1,"1",401482.44,3283938.96,0.045238934,NA,NA,NA,NA,NA,NA,NA,NA,0.045238934,0
"2",1,"10",401484.532,3283922.344,0.026389378,NA,NA,NA,NA,NA,NA,NA,NA,0.026389378,0
"3",1,"100",401503.691,3283919.552,0.836684663,NA,NA,NA,NA,NA,NA,NA,NA,0.836684663,1
"4",1,"101",401508.838,3283911.327,1.656169107,NA,NA,NA,NA,NA,NA,NA,NA,1.656169107,1
"5",1,"102",401504.96,3283916.601,0.065423667,NA,NA,NA,NA,NA,NA,NA,NA,0.065423667,1
"6",1,"103",401506.788,3283916.679,0.483805269,NA,NA,NA,NA,NA,NA,NA,NA,0.483805269,1
"7",1,"104",401505.501,3283914.58,0.021912609,NA,NA,NA,NA,NA,NA,NA,NA,0.021912609,1
"8",1,"105",401506.549,3283913.722,2.033867084,NA,NA,NA,NA,NA,NA,NA,NA,2.033867084,1
"9",1,"106",401509.364,3283910.568,0.452389342,NA,NA,NA,NA,NA,NA,NA,NA,0.452389342,1
"10",1,"107",401509.987,3283906.746,3.856697681,NA,NA,NA,NA,NA,NA,NA,NA,3.856697681,1
"11",1,"108",401508.021,3283904.738,0.321620548,NA,NA,NA,NA,NA,NA,NA,NA,0.321620548,1
"12",1,"109",401507.525,3283903.244,4.625995182,NA,NA,NA,NA,NA,NA,NA,NA,4.625995182,1
"13",1,"11",401481.891,3283918.092,0.107442469,NA,NA,NA,NA,NA,NA,NA,NA,0.107442469,0
"14",1,"110",401505.789,3283903.448,0.231849538,NA,NA,NA,NA,NA,NA,NA,NA,0.231849538,1
"15",1,"111",401506.437,3283901.94,0.136345121,NA,NA,NA,NA,NA,NA,NA,NA,0.136345121,1
"16",1,"112",401505.832,3283901.3,0.022619467,NA,NA,NA,NA,NA,NA,NA,NA,0.022619467,0
"17",1,"113",401506.908,3283899.159,0.019792034,NA,NA,NA,NA,NA,NA,NA,NA,0.019792034,0
"18",1,"114",401508.644,3283900.005,3.981026211,NA,NA,NA,NA,NA,NA,NA,NA,3.981026211,0
"19",1,"115",401510.79,3283898.318,2.745123661,NA,NA,NA,NA,NA,NA,NA,NA,2.745123661,0
"20",1,"116",401512.498,3283897.99,1.950300719,NA,NA,NA,NA,NA,NA,NA,NA,1.950300719,0
"21",1,"117",401511.125,3283895.709,1.922026385,NA,NA,NA,NA,NA,NA,NA,NA,1.922026385,0
"22",1,"118",401510.457,3283895.571,0.084823002,NA,NA,NA,NA,NA,NA,NA,NA,0.084823002,0
"23",1,"119",401514.819,3283896.407,0.053878314,NA,NA,NA,NA,NA,NA,NA,NA,0.053878314,0
"24",1,"12",401483.155,3283917.676,0.285099533,NA,NA,NA,NA,NA,NA,NA,NA,0.285099533,0
"25",1,"120",401513.691,3283893.716,0.029688051,NA,NA,NA,NA,NA,NA,NA,NA,0.029688051,0
"26",1,"121",401514.017,3283894.215,0.107756628,NA,NA,NA,NA,NA,NA,NA,NA,0.107756628,0
"27",1,"122",401517.082,3283895.949,0.009189159,NA,NA,NA,NA,NA,NA,NA,NA,0.009189159,0
"28",1,"123",401519.02,3283895.901,0.720681355,NA,NA,NA,NA,NA,NA,NA,NA,0.720681355,0
"29",1,"124",401517.785,3283900.148,4.961203119,NA,NA,NA,NA,NA,NA,NA,NA,4.961203119,0
"30",1,"125",401513.588,3283899.779,0.207345115,NA,NA,NA,NA,NA,NA,NA,NA,0.207345115,0
"31",1,"126",401517.023,3283910.475,0.759637104,NA,NA,NA,NA,NA,NA,NA,NA,0.759637104,1
"32",1,"127",401516.523,3283910.845,0.138936935,NA,NA,NA,NA,NA,NA,NA,NA,0.138936935,1
"33",1,"128",401516.238,3283911.833,0.005497787,NA,NA,NA,NA,NA,NA,NA,NA,0.005497787,1
"34",1,"129",401515.721,3283913.176,0.005497787,NA,NA,NA,NA,NA,NA,NA,NA,0.005497787,1
"35",1,"13",401484.86,3283913.969,0.010367256,NA,NA,NA,NA,NA,NA,NA,NA,0.010367256,0
"36",1,"130",401517.536,3283909.55,0.342826298,NA,NA,NA,NA,NA,NA,NA,NA,0.342826298,1
"37",1,"131",401520.74,3283911.935,0.010838495,NA,NA,NA,NA,NA,NA,NA,NA,0.010838495,1
"38",1,"132",401520.525,3283915.186,0.011309734,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,1
"39",1,"133",401521.075,3283907.772,0.005654867,NA,NA,NA,NA,NA,NA,NA,NA,0.005654867,1
"40",1,"134",401524.692,3283908.762,0.025132741,NA,NA,NA,NA,NA,NA,NA,NA,0.025132741,0
"41",1,"135",401524.327,3283908.465,0.841161433,NA,NA,NA,NA,NA,NA,NA,NA,0.841161433,0
"42",1,"136",401520.978,3283907.382,0.445791998,NA,NA,NA,NA,NA,NA,NA,NA,0.445791998,1
"43",1,"137",401522.554,3283907.979,0.808645949,NA,NA,NA,NA,NA,NA,NA,NA,0.808645949,0
"44",1,"138",401521.677,3283905.713,0.02984513,NA,NA,NA,NA,NA,NA,NA,NA,0.02984513,0
"45",1,"139",401524.539,3283902.152,0.56854973,NA,NA,NA,NA,NA,NA,NA,NA,0.56854973,0
"46",1,"14",401484.074,3283913.216,0.019006636,NA,NA,NA,NA,NA,NA,NA,NA,0.019006636,0
"47",1,"140",401527.345,3283899.969,0.54742252,NA,NA,NA,NA,NA,NA,NA,NA,0.54742252,0
"48",1,"141",401525.986,3283897.292,0.150089589,NA,NA,NA,NA,NA,NA,NA,NA,0.150089589,0
"49",1,"142",401521.883,3283896.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50",1,"143",401520.816,3283898.425,0.003455752,NA,NA,NA,NA,NA,NA,NA,NA,0.003455752,0
"51",1,"144",401528.426,3283893.624,0.048066368,NA,NA,NA,NA,NA,NA,NA,NA,0.048066368,0
"52",1,"145",401528.863,3283895.615,0.428827397,NA,NA,NA,NA,NA,NA,NA,NA,0.428827397,0
"53",1,"146",401531.655,3283896.451,0.021991149,NA,NA,NA,NA,NA,NA,NA,NA,0.021991149,0
"54",1,"147",401528.867,3283901.481,2.250872596,NA,NA,NA,NA,NA,NA,NA,NA,2.250872596,0
"55",1,"148",401529.778,3283901.799,0.079168135,NA,NA,NA,NA,NA,NA,NA,NA,0.079168135,0
"56",1,"149",401531.207,3283902.836,0.19242255,NA,NA,NA,NA,NA,NA,NA,NA,0.19242255,0
"57",1,"15",401490.107,3283914.273,2.004257573,NA,NA,NA,NA,NA,NA,NA,NA,2.004257573,0
"58",1,"150",401529.439,3283903.578,0.477207924,NA,NA,NA,NA,NA,NA,NA,NA,0.477207924,0
"59",1,"151",401528.235,3283907.254,0.005183628,NA,NA,NA,NA,NA,NA,NA,NA,0.005183628,0
"60",1,"152",401529.951,3283907.575,0.304734487,NA,NA,NA,NA,NA,NA,NA,NA,0.304734487,0
"61",1,"153",401530.1,3283909.496,0.313373867,NA,NA,NA,NA,NA,NA,NA,NA,0.313373867,0
"62",1,"154",401531.951,3283909.371,0.07696902,NA,NA,NA,NA,NA,NA,NA,NA,0.07696902,0
"63",1,"155",401528.176,3283916.02,0.091891585,NA,NA,NA,NA,NA,NA,NA,NA,0.091891585,0
"64",1,"156",401525.397,3283926.949,0.01264491,NA,NA,NA,NA,NA,NA,NA,NA,0.01264491,0
"65",1,"157",401527.356,3283927.209,0.007539822,NA,NA,NA,NA,NA,NA,NA,NA,0.007539822,0
"66",1,"158",401526.279,3283928.751,0.057726765,NA,NA,NA,NA,NA,NA,NA,NA,0.057726765,0
