"","Plot","Patch","patcharea","nnd","bufferarea","bufferfararea","ifm","year"
"1",2,"1",0.028274334,1.10194736719579,1.715859368,1.715859368,2.22703547141332,2015
"2",2,"10",0.241195776,1.9813492878113,7.334205129,7.058530374,6.06979679307631,2015
"3",2,"100",0.033693581,2.03732790688632,10.984578714,10.984578714,8.81655286205882,2015
"4",2,"102",0.036521015,2.93609008737984,11.480479113,11.480479113,10.1104973411311,2015
"5",2,"11",0.240331838,1.9813492878113,7.027114448,7.027114448,5.97573210553492,2015
"6",2,"117",0.779743297,1.35331444984256,11.5202988,11.5202988,8.71005292791118,2015
"7",2,"118",0.143256625,1.35331444984256,12.156785472,12.156785472,9.15503681021239,2015
"8",2,"119",0.494643763,0.502359433254097,11.841919349,11.841919349,10.3302152143489,2015
"9",2,"12",0.943970053,2.20867494196477,6.379475122,6.379475122,6.10590315352799,2015
"10",2,"124",0.292168117,0.978989274772113,1.474663592,1.474663592,2.84024536823916,2015
"11",2,"13",2.477145807,3.13247841175976,4.900727461,4.900727461,6.65830728851654,2015
"12",2,"14",0.003534292,1.46683673282019,9.280264699,9.039932861,7.43227728693055,2015
"13",2,"15",0.055998889,1.46683673282019,8.987468264,8.043498211,6.87809445133599,2015
"14",2,"162",0.510194647,0.92940518604157,1.905218864,1.905218864,2.50964865715765,2015
"15",2,"163",0.143492244,3.24533465163651,2.271921267,2.271921267,2.44651693216378,2015
"16",2,"164",0.023876104,0.92940518604157,2.391537407,2.391537407,2.92841549748053,2015
"17",2,"165",0.467311907,3.55694756771703,1.948101604,1.948101604,1.89920070041011,2015
"18",2,"166",0.082938046,1.40832382635783,2.332475465,2.332475465,2.69503769023271,2015
"19",2,"167",0.143256625,1.05807986485393,2.272156886,2.272156886,2.84424903567687,2015
"20",2,"168",0.992429119,0.0671788659084896,1.422984392,1.422984392,2.27627955312183,2015
"21",2,"169",0.019870574,0.0671788659084896,2.395542937,2.395542937,3.24584348593395,2015
"22",2,"17",1.080707873,2.90200361804238,1.203072907,1.203072907,5.14966818770103,2015
"23",2,"170",0.032044245,1.00504975007536,2.383369266,2.383369266,3.22170969055587,2015
"24",2,"18",0.039741147,1.22607707771885,7.837645352,4.72118544,6.00489536061334,2015
"25",2,"184",0.044767695,13.8806052101616,0,0,4.53477518962901,2015
"26",2,"19",0.037384953,1.22607707771885,4.723541634,2.246395827,5.69453873438342,2015
"27",2,"197",0.003769911,3.78587704484449,12.296272186,12.296272186,9.87225663368696,2015
"28",2,"198",0.552056369,1.62475998216366,11.891713592,11.891713592,11.0704846350052,2015
"29",2,"199",0.00408407,0.502359433254097,12.40599231,12.332479042,10.9813513868687,2015
"30",2,"2",0.003926991,1.10194736719579,1.740206711,1.740206711,2.38385238576424,2015
"31",2,"20",0.336935812,2.0956321240813,1.946844968,1.946844968,4.97005385613747,2015
"32",2,"200",0.365681385,1.89858526273367,12.078088576,12.078088576,10.967944902691,2015
